Date,DaysPassed,Confirmed
1/10/20,1,41
1/11/20,2,41
1/12/20,3,41
1/13/20,4,41
1/14/20,5,41
1/15/20,6,41
1/16/20,7,45
1/17/20,8,62
1/18/20,9,121
1/19/20,10,199
1/20/20,11,291
1/21/20,12,440
1/22/20,13,588
1/23/20,14,870
1/24/20,15,1325
1/25/20,16,1991
1/26/20,17,2773
1/27/20,18,4516
1/28/20,19,5970
